model,price,avg_rating,5G_or_not,processor_brand,num_cores,processor_speed,battery_capacity,fast_charging_available,fast_charging,...,internal_memory,screen_size,refresh_rate,num_rear_cameras,os,primary_camera_rear,primary_camera_front,extended_memory_available,resolution_height,resolution_width
Xiaomi Redmi Note 12 (6GB RAM + 128GB),19988,7.9,1,snapdragon,8,2,5000,1,33,6,128,6.67,120,3,android,48,13,1,2400,1080
Xiaomi Redmi Note 12,17859,7.6,1,snapdragon,8,2,5000,1,33,4,128,6.67,120,3,android,48,13,1,2400,1080
Xiaomi Redmi Note 11T Pro 5G,19990,8.2,1,dimensity,8,2.85,5080,1,67,6,128,6.6,144,3,android,64,16,1,2460,1080
Xiaomi Redmi Note 11T 5G (8GB RAM + 128GB),18499,8.3,1,dimensity,8,2.4,5000,1,33,8,128,6.6,90,2,android,50,16,1,2400,1080
Xiaomi Redmi Note 11T 5G (6GB RAM + 128GB),16999,8.1,1,dimensity,8,2.4,5000,1,33,6,128,6.6,90,2,android,50,16,1,2400,1080
Xiaomi Redmi Note 11T 5G,16999,7.9,1,dimensity,8,2.4,5000,1,33,6,64,6.6,90,2,android,50,16,1,2400,1080
Xiaomi Redmi Note 11SE,11999,8,0,helio,8,2.05,5000,1,33,6,64,6.43,60,4,android,64,13,1,2400,1080
Xiaomi Redmi Note 11S (8GB RAM + 128GB),15824,8.4,0,helio,8,2.05,5000,1,33,8,128,6.43,90,4,android,108,16,1,2400,1080
Xiaomi Redmi Note 11S (6GB RAM + 128GB),15499,8.1,0,helio,8,2.05,5000,1,33,6,128,6.43,90,4,android,108,16,1,2400,1080
Xiaomi Redmi Note 11S,14590,8,0,helio,8,2.05,5000,1,33,6,64,6.43,90,4,android,108,16,1,2400,1080
Xiaomi Redmi Note 11R,12990,7.3,1,dimensity,8,2.2,5000,1,18,4,128,6.58,90,2,android,13,5,1,2400,1080
Xiaomi Redmi Note 11E 5G,13990,6.9,1,dimensity,8,2.2,5000,1,18,4,128,6.58,90,2,android,50,5,0,2408,1080
Xiaomi Redmi Note 11 Pro Plus 5G (8GB RAM + 256GB),22999,8.7,1,snapdragon,8,2.2,5000,1,67,8,256,6.67,120,3,android,108,16,1,2400,1080
Xiaomi Redmi Note 11 Pro Plus 5G (8GB RAM + 128GB),22700,8.6,1,snapdragon,8,2.2,5000,1,67,8,128,6.67,120,3,android,108,16,1,2400,1080
Xiaomi Redmi Note 11 Pro Plus 5G,19999,8.3,1,snapdragon,8,2.2,5000,1,67,6,128,6.67,120,3,android,108,16,1,2400,1080
Xiaomi Redmi Note 11 Pro Max 5G,19999,8.3,1,snapdragon,8,2.4,5200,1,33,6,128,6.67,120,4,android,108,32,1,2400,1080
Xiaomi Redmi Note 11 Pro 5G,17990,8.1,1,snapdragon,8,2.2,5000,1,67,6,64,6.67,120,3,android,108,16,1,2400,1080
Xiaomi Redmi Note 11 Pro 4G,17999,8.1,0,helio,8,2.05,5000,1,67,6,128,6.67,120,4,android,108,16,1,2400,1080
Xiaomi Redmi Note 11 5G,14990,7.7,1,dimensity,8,2.4,5000,1,33,4,128,6.6,90,2,android,50,16,1,2400,1080
Xiaomi Redmi Note 11 (6GB RAM + 64GB),12188,7.9,0,snapdragon,8,2.4,5000,1,33,6,64,6.43,90,4,android,50,13,1,2400,1080
