model,price,avg_rating,5G_or_not,processor_brand,num_cores,processor_speed,battery_capacity,fast_charging_available,fast_charging,...,internal_memory,screen_size,refresh_rate,num_rear_cameras,os,primary_camera_rear,primary_camera_front,extended_memory_available,resolution_height,resolution_width
Oppo A31 2020 (6GB RAM + 128GB),12490,7.2,0,helio,8,2.3,4230,0,0,6,128,6.5,60,3,android,12,8,1,1600,720
Oppo A15s (4GB RAM + 128GB),11490,7.2,0,helio,8,2.3,4230,0,0,4,128,6.52,60,3,android,13,8,1,1600,720
Oppo A12,9990,6.4,0,helio,8,1.8,4230,0,0,3,32,6.22,60,2,android,13,5,1,720,1520
OPPO X 2021,134999,8.6,0,snapdragon,8,2.84,4000,1,45,8,256,7.4,60,3,android,64,16,0,3200,1440
OPPO Reno8 5G,29340,8.3,1,dimensity,8,3,4500,1,80,8,128,6.43,90,3,android,50,32,0,2400,1080
OPPO Reno7 Z 5G,17999,8.4,1,snapdragon,8,2.2,4500,1,33,8,128,6.43,60,3,android,64,16,1,2400,1080
OPPO Reno7 Pro 5G,31994,8.7,1,dimensity,8,3,4500,1,65,12,256,6.55,90,3,android,50,32,1,2400,1080
OPPO Reno7 5G,25994,8.5,1,dimensity,8,2,4500,1,65,8,256,6.43,90,3,android,64,32,1,2400,1080
OPPO Reno 9 Z,22990,8.4,1,snapdragon,8,2.2,4800,1,33,8,128,6.58,120,3,android,50,32,1,2400,1080
OPPO Reno 9 Pro Plus,45999,8.6,1,snapdragon,8,3.2,4700,1,80,16,256,6.7,120,3,android,50,32,0,2412,1080
OPPO Reno 9 Pro 5G,39999,8.6,1,dimensity,8,2.85,4500,1,67,16,256,6.7,120,2,android,50,32,0,2412,1080
OPPO Reno 9 5G,28499,8.3,1,snapdragon,8,2.4,4500,1,67,8,256,6.7,120,2,android,64,32,0,2412,1080
OPPO Reno 8 Z,26990,8.6,1,snapdragon,8,2.2,4500,1,33,8,256,6.43,60,3,android,64,16,1,2400,1080
OPPO Reno 8 Pro House of Dragon Edition,45999,8.6,1,dimensity,8,2.85,4500,1,80,12,256,6.7,120,3,android,50,32,0,2412,1080
OPPO Reno 8 Pro 5G,45999,8.6,1,dimensity,8,2.85,4500,1,80,12,256,6.7,120,3,android,50,32,0,2412,1080
OPPO Reno 8 House of Dragon Edition,32990,8.4,1,dimensity,8,3,4500,1,80,8,128,6.43,90,3,android,50,32,0,2400,1080
OPPO Reno 6 Pro Plus 5G,44990,8.7,1,snapdragon,8,3.2,4500,1,65,8,128,6.55,90,4,android,50,32,0,2400,1080
OPPO Reno 6 Pro 5G,36760,8.7,1,dimensity,8,3,4500,1,65,12,256,6.55,90,4,android,64,32,0,2400,1080
OPPO Reno 6,26380,8.3,1,dimensity,8,2,4300,1,65,8,128,6.43,90,3,android,64,32,0,2400,1080
