model,price,avg_rating,5G_or_not,processor_brand,num_cores,processor_speed,battery_capacity,fast_charging_available,fast_charging,...,internal_memory,screen_size,refresh_rate,num_rear_cameras,os,primary_camera_rear,primary_camera_front,extended_memory_available,resolution_height,resolution_width
Motorola Moto G52 (6GB RAM + 128GB),12999,7.9,0,snapdragon,8,2.4,5000,1,33,6,128,6.6,90,3,android,50,16,1,1080,2460
Motorola Moto G52,11999,7.5,0,snapdragon,8,2.4,5000,1,33,4,64,6.6,90,3,android,50,16,1,1080,2460
Motorola Moto G51 5G,12999,7.7,1,snapdragon,8,2.2,5000,0,0,4,64,6.8,120,3,android,50,13,1,2400,1080
Motorola Moto G42,10999,7.8,0,snapdragon,8,2.4,5000,1,20,4,64,6.47,60,3,android,50,16,1,2400,1080
Motorola Moto G40 Fusion,14499,7.7,0,snapdragon,8,2.3,6000,1,20,4,64,6.78,120,3,android,64,16,1,2460,1080
Motorola Moto G32,10499,7.5,0,snapdragon,8,2.4,5000,1,33,4,64,6.55,90,3,android,50,16,1,2400,1080
Motorola Moto G31 (6GB RAM+ 128GB),11999,7.8,0,helio,8,2,5000,1,20,6,128,6.47,60,3,android,50,13,1,2400,1080
Motorola Moto G31,9999,7.5,0,helio,8,2,5000,1,20,4,64,6.47,60,3,android,50,13,1,2400,1080
Motorola Moto G23,19999,7.7,0,helio,8,2,5000,1,30,4,128,6.5,90,3,android,50,16,1,1600,720
Motorola Moto G22,9499,7.5,0,helio,8,2.3,5000,1,20,4,64,6.53,90,4,android,50,16,1,1600,720
Motorola Moto G13,15999,7.5,0,helio,8,2,5000,1,10,4,128,6.5,90,3,android,50,8,1,1600,720
Motorola Moto G 5G,19990,8.2,1,snapdragon,8,2.2,5000,1,20,6,128,6.67,60,3,android,48,16,1,2400,1080
Motorola Moto Edge X30 Pro,59990,0,1,snapdragon,8,3.2,4450,1,125,8,128,6.67,144,3,android,200,60,0,2340,1080
Motorola Moto Edge S30 Pro,34990,8.3,1,snapdragon,8,3,5000,1,68,8,128,6.67,120,3,android,64,16,0,2460,1080
Motorola Moto Edge S30 5G,23990,8.5,1,snapdragon,8,2.9,5000,1,33,6,128,6.8,144,3,android,108,16,0,2460,1080
Motorola Moto Edge 30 Neo,31990,8.4,1,snapdragon,8,2.2,4020,1,68,8,128,6.28,120,2,android,64,32,0,2400,1080
Motorola Moto E40,7999,7.1,0,tiger,8,1.8,5000,0,0,4,64,6.5,90,3,android,48,8,1,1600,720
Motorola Moto E32s (4GB RAM + 64GB),8859,6.7,0,helio,8,1.8,5000,1,18,4,64,6.5,90,3,android,16,8,1,1600,720
Motorola Moto E32s,7990,6.5,0,helio,8,1.8,5000,1,18,3,32,6.5,90,3,android,16,8,1,1600,720
Motorola Moto E32,8999,7.1,0,helio,8,2.3,5000,1,10,4,64,6.5,90,2,android,50,8,1,1600,720
Motorola Moto E22s,9022,7,0,helio,8,2.3,5000,1,10,4,64,6.5,90,2,android,16,8,1,1600,720
Motorola Moto E13,10499,6.5,0,tiger,8,2,5000,1,10,2,64,6.5,60,1,android,13,5,1,1600,720
Motorola Edge S,22490,8.7,1,snapdragon,8,3.2,5000,1,20,6,128,6.7,90,4,android,64,16,1,2520,1080
Motorola Edge Plus,57999,8.9,1,snapdragon,8,2.84,5000,1,18,12,256,6.7,90,3,android,108,25,0,2340,1080
